"","Class","Class_2"
"metab_65","glycerophospholipids","FIA"
"metab_66","glycerophospholipids","FIA"
"metab_67","glycerophospholipids","FIA"
"metab_68","glycerophospholipids","FIA"
"metab_69","glycerophospholipids","FIA"
"metab_70","glycerophospholipids","FIA"
"metab_71","aminoacids","LC"
"metab_72","biogenicamines","LC"
"metab_73","aminoacids","LC"
"metab_74","glycerophospholipids","FIA"
"metab_75","glycerophospholipids","FIA"
"metab_76","glycerophospholipids","FIA"
"metab_77","glycerophospholipids","FIA"
"metab_78","glycerophospholipids","FIA"
"metab_79","glycerophospholipids","FIA"
"metab_80","glycerophospholipids","FIA"
"metab_81","glycerophospholipids","FIA"
"metab_82","glycerophospholipids","FIA"
"metab_83","glycerophospholipids","FIA"
"metab_84","glycerophospholipids","FIA"
"metab_85","glycerophospholipids","FIA"
"metab_86","glycerophospholipids","FIA"
"metab_87","glycerophospholipids","FIA"
"metab_88","glycerophospholipids","FIA"
"metab_89","glycerophospholipids","FIA"
"metab_90","glycerophospholipids","FIA"
"metab_91","glycerophospholipids","FIA"
"metab_92","glycerophospholipids","FIA"
"metab_93","glycerophospholipids","FIA"
"metab_94","glycerophospholipids","FIA"
"metab_95","glycerophospholipids","FIA"
"metab_96","glycerophospholipids","FIA"
"metab_97","glycerophospholipids","FIA"
"metab_98","glycerophospholipids","FIA"
"metab_99","glycerophospholipids","FIA"
"metab_100","glycerophospholipids","FIA"
"metab_101","glycerophospholipids","FIA"
"metab_102","glycerophospholipids","FIA"
"metab_103","glycerophospholipids","FIA"
"metab_104","glycerophospholipids","FIA"
"metab_105","glycerophospholipids","FIA"
"metab_106","glycerophospholipids","FIA"
"metab_107","glycerophospholipids","FIA"
"metab_108","glycerophospholipids","FIA"
"metab_109","glycerophospholipids","FIA"
"metab_110","glycerophospholipids","FIA"
"metab_111","glycerophospholipids","FIA"
"metab_112","glycerophospholipids","FIA"
"metab_113","glycerophospholipids","FIA"
"metab_114","glycerophospholipids","FIA"
"metab_115","glycerophospholipids","FIA"
"metab_116","glycerophospholipids","FIA"
"metab_117","glycerophospholipids","FIA"
"metab_118","glycerophospholipids","FIA"
"metab_119","glycerophospholipids","FIA"
"metab_120","glycerophospholipids","FIA"
"metab_121","glycerophospholipids","FIA"
"metab_122","glycerophospholipids","FIA"
"metab_123","glycerophospholipids","FIA"
"metab_124","glycerophospholipids","FIA"
"metab_125","glycerophospholipids","FIA"
"metab_126","glycerophospholipids","FIA"
"metab_127","glycerophospholipids","FIA"
"metab_128","glycerophospholipids","FIA"
"metab_129","glycerophospholipids","FIA"
"metab_130","glycerophospholipids","FIA"
"metab_131","glycerophospholipids","FIA"
"metab_132","glycerophospholipids","FIA"
"metab_133","glycerophospholipids","FIA"
"metab_134","glycerophospholipids","FIA"
"metab_135","glycerophospholipids","FIA"
"metab_136","glycerophospholipids","FIA"
"metab_137","glycerophospholipids","FIA"
"metab_138","glycerophospholipids","FIA"
"metab_139","glycerophospholipids","FIA"
"metab_140","glycerophospholipids","FIA"
"metab_141","glycerophospholipids","FIA"
"metab_142","glycerophospholipids","FIA"
"metab_143","glycerophospholipids","FIA"
"metab_144","glycerophospholipids","FIA"
"metab_145","glycerophospholipids","FIA"
"metab_146","glycerophospholipids","FIA"
"metab_147","glycerophospholipids","FIA"
"metab_148","glycerophospholipids","FIA"
"metab_149","aminoacids","LC"
"metab_150","aminoacids","LC"
"metab_151","biogenicamines","LC"
"metab_152","biogenicamines","LC"
"metab_153","aminoacids","LC"
"metab_154","biogenicamines","LC"
"metab_155","sphingolipids","FIA"
"metab_156","sphingolipids","FIA"
"metab_157","sphingolipids","FIA"
"metab_158","sphingolipids","FIA"
"metab_159","sphingolipids","FIA"
"metab_160","sphingolipids","FIA"
"metab_161","sphingolipids","FIA"
"metab_162","sphingolipids","FIA"
"metab_163","sphingolipids","FIA"
"metab_164","sphingolipids","FIA"
"metab_165","sphingolipids","FIA"
"metab_166","sphingolipids","FIA"
"metab_167","sphingolipids","FIA"
"metab_168","sphingolipids","FIA"
"metab_169","biogenicamines","LC"
"metab_170","biogenicamines","LC"
"metab_171","biogenicamines","LC"
"metab_172","biogenicamines","LC"
"metab_173","aminoacids","LC"
"metab_174","biogenicamines","LC"
"metab_175","aminoacids","LC"
"metab_176","aminoacids","LC"
"metab_177","aminoacids","LC"
